,original,detoxified,orig_label,new_label
27,Damn I felt this shit. Why you so loud lol,I felt this because you are so loud lol,OFF,NOT
28,"3 days before BBC Radio 2’s Festival in a Day, they decide to tell us that their headline act isn’t coming anymore. Thanks a lot, now I’ve paid a fortune to see a tonne of acts who are shit and who are of no interest to me :expressionless_face::thumbs_up_light_skin_tone:","3 days before BBC Radio 2’s Festival in a Day, they decide to",OFF,NOT
29,"joe scarborough is a vile excuse for a journalist"". Here he is criticizing trump yet refuses to come clean about the death of an intern in his office. Stop talking about everyone else and start talking about YOUR INVOLVEMENT WITH lori klaus ut is",Joe scarborough is a bad excuse for a journalist. Here he is critizing Trump,OFF,NOT
30,// SO WANT TO KICK TWITTERFUCK ASS.,I want to speak with you.,OFF,NOT
31,"Really? The GOP hasn't even seen the letter yet. This sham is as subtle as a banana on a pool table and you won't, cant, see it. DiFi throws a hail Mary @ the 13th hour, and you cry foul. At elast Ford won't have antifa coming to burn her house down. Dems are going down, hard.",Really? The GOP hasn't even seen the letter yet.,OFF,NOT
32,fuck,i don't care,OFF,NOT
33,idiots Is there nothing beneath them? Lol. What fools Liberals are! maga kag :United_States::United_States::United_States::United_States::United_States: http,Is there nothing beneath them? Lol. What liberals are,OFF,NOT
34,Am I a dickhead ???? Probably yes,Am I bad? Probably yes,OFF,NOT
35,"3 days before BBC Radio 2’s Festival in a Day, they decide to tell us that their headline act isn’t coming anymore. Thanks a lot, now I’ve paid a fortune to see a tonne of acts who are shit and who are of no interest to me :expressionless_face::thumbs_up_light_skin_tone:","3 days before BBC Radio 2’s Festival in a Day, they decide to",OFF,NOT
36,"desantis de racist as bad a choice as he is, he “distanced” himself from the Prez’s comments today questioning any deaths in Puerto Rico from Hurricane Maria what a putz","desantis de bad a choice as he is, he “distanced”",OFF,NOT
37,liberalism is a mental disorder hypocrites democrats hate america democrats are dangerous EVERYTHING LIBERALS TOUCH TURNS TO ABSOLUTE SHIT. http,liberalism is a mental disorder democrats hate america democrats are dangerous,OFF,OFF
38,Anytime I randomly bust out laughing it’s because I remembered some dumb shit Albria said :loudly_crying_face::loudly_crying_face:,Anytime I randomly bust out laughing it’s because I remembered something Albria,OFF,NOT
39,:face_with_tears_of_joy: You do not like the Jewish people because you ALL claims they are holding all the money. Sound familiar? Your left wing libtard family is the family of the KKK. You do not hate Jews? That’s funny. Gun control; even funnier. Good luck,face_with_tears_of_joy: You do not like the Jewish,OFF,NOT
40,carrey is a pervert himself!,carrey is not good,OFF,NOT
41,nigga are you stupid your trash dont play with him play with your bitch :face_with_tears_of_joy:,Don't play with him play with your tears.,OFF,NOT
42,"texas Wake up! A Socialist is mesmerizing the weak-minded in your state! YOU ARE **TEXAS** FOR CRYING OUT LOUD! Of all the places that embody the American Spirit of Individual Freedom, TEXAS IS THE STANDARD BEARER Make a damn stand for your GREAT Senator save texas http",Texas Wake up! A Socialist is mesmerizing the weak-minded in your state!,OFF,OFF
43,"5 years ago Antifa rapper Pavlos Fyssas surrounded by fascists of the Golden Dawn Party in Keratsini, Athens, and stabbed to death. Five years later WE DO NOT FORGET WE DO NOT FORGIVE http http",5 years ago Antifa rapper Pavlos Fyssas surrounded by fascists of the Golden,OFF,OFF
44,femi nazis are Liberals so me too only counts when they blame a non-Liberal man. bizarro kag2018 :red_heart::United_States: http,Femi nazis are Liberals so me too only counts when they blame a non,OFF,OFF
45,$1500 for a phone. You all are fucking dumb.,$1500 for a phone,OFF,NOT
46,"b cog she is cool, confident, cocky, and she kicks ass!!! http","she is cool, confident, and she is awesome",OFF,NOT
47,stop etc he co par Fuck you all :middle_finger::middle_finger::middle_finger::middle_finger::middle_finger: Que florezcan mil Baby Etchecopar :sunflower::sunflower::sunflower:,"Stop talking, he's gone.",OFF,NOT
